,0,1,2,3,4,5,6,7
1.3,5.86266544938056,1.46566636234514,0.9069379831660324,1.1861528619911,OK,OK,NOT OK,NOT OK
1.3888888888888888,5.73922011547252,1.43480502886813,0.9187474901813212,1.163589025504248,OK,OK,NOT OK,NOT OK
1.4777777777777779,5.620769958055823,1.4051924895139558,0.9278870594614216,1.1415595036221882,OK,OK,NOT OK,NOT OK
1.5666666666666667,5.507298660728702,1.3768246651821754,0.9348020020736041,1.1201763857751645,OK,OK,NOT OK,NOT OK
1.6555555555555557,5.398712450363494,1.3496781125908734,0.939865500692313,1.0995094171415674,OK,OK,NOT OK,NOT OK
1.7444444444444445,5.294865418539645,1.3237163546349113,0.9433892351256837,1.0795970154759542,OK,OK,NOT OK,NOT OK
1.8333333333333335,5.195578298784288,1.298894574696072,0.9456330196497658,1.060454757897318,OK,OK,NOT OK,NOT OK
1.9222222222222223,5.100652191287714,1.2751630478219285,0.9468132524626632,1.042081839048491,OK,OK,NOT OK,NOT OK
2.011111111111111,5.009878448941824,1.252469612235456,0.9471101619402511,1.0244659372536176,OK,OK,NOT OK,NOT OK
2.1,4.923045682844319,1.2307614207110797,0.946673930224181,1.0075868500655802,OK,OK,NOT OK,NOT OK
