,0,1,2,3,4,5,6,7
400000000.0,3.3812382821734253,0.8453095705433563,0.7489879521280177,1.0707757093383823,OK,NOT OK,NOT OK,NOT OK
600000000.0,4.14115424504481,1.0352885612612024,0.8288914246934472,1.0808092652333119,OK,NOT OK,NOT OK,NOT OK
800000000.0,4.781793036264764,1.195448259066191,0.8907018017219561,1.0854561543617378,OK,OK,NOT OK,NOT OK
1000000000.0,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
1200000000.0,5.856476497221285,1.4641191243053213,0.9857235798101898,1.0934166148399929,OK,OK,NOT OK,NOT OK
1400000000.0,6.325717597468515,1.5814293993671287,1.024452538633415,1.0974473301155434,OK,OK,NOT OK,NOT OK
1600000000.0,6.7624765643468505,1.6906191410867126,1.0592289199534932,1.1015567321758473,OK,OK,OK,NOT OK
1800000000.0,7.172689554397147,1.7931723885992867,1.090882463598214,1.1057273349824834,OK,OK,OK,NOT OK
2000000000.0,7.560678647064394,1.8901696617660986,1.119998221364009,1.1099384247208959,OK,OK,OK,NOT OK
