,0,1,2,3,4,5,6,7
0.1,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.2,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.30000000000000004,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.4,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.5,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.6,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.7000000000000001,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.8,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
0.9,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
1.0,5.346207141711565,1.3365517854278912,0.9418024894355314,1.0894574709819722,OK,OK,NOT OK,NOT OK
