,0,1,2,3,4,5,6,7
500000.0,15.121357294128789,3.780339323532197,12.671333395893805,9.803794445255354,NOT OK,OK,OK,NOT OK
1333333.3333333335,9.259902397232015,2.3149755993080037,3.7184453450402013,3.393227708522784,OK,OK,OK,NOT OK
2166666.666666667,7.264065079607792,1.816016269901948,2.026724398904736,2.043131542271965,OK,OK,NOT OK,NOT OK
3000000.0,6.173268264821344,1.543317066205336,1.349376849151975,1.4614593281522226,OK,OK,NOT OK,NOT OK
3833333.3333333335,5.461192493005239,1.3652981232513097,0.9932626187342277,1.1377197292989172,OK,OK,NOT OK,NOT OK
4666666.666666667,4.949626029344128,1.237406507336032,0.7767412095877116,0.9313894593564114,OK,NOT OK,NOT OK,NOT OK
5500000.0,4.5592607695935445,1.1398151923983861,0.6325304850716088,0.7882985813630571,OK,NOT OK,NOT OK,NOT OK
6333333.333333334,4.248734608061514,1.0621836520153785,0.5302667433917876,0.6831502837004937,OK,NOT OK,NOT OK,NOT OK
7166666.666666667,3.9940838203467823,0.9985209550866956,0.45434768202882947,0.6025440010771431,OK,NOT OK,NOT OK,NOT OK
8000000.0,3.780339323532197,0.9450848308830493,0.3959791686216814,0.538709571174831,OK,NOT OK,NOT OK,NOT OK
